Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number TRSs,Number Quadrats Per TRS,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,Density Metric
1133,0.5,SRS,1,500,50,72,378,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.69,200,0,0,0,0,TRUE,0,0,200,51,6,8,37,51,6,8,37,1.666666667,0,0,0,0,1.02,2.577922647,0,0,0,1.02
1134,0.5,SRS,1,500,56,77,367,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.574,200,0,0,0,0,TRUE,0,0,200,53,5,11,37,53,5,11,37,1.666666667,0,0,0,0,1.06,2.49445037,0,0,0,1.06
1123,0.5,SRS,1,500,64,56,380,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.698,200,0,0,0,0,TRUE,0,0,200,57,6,4,47,57,6,4,47,1.666666667,0,0,0,0,1.14,2.39550602,0,0,0,1.14
1131,0.5,SRS,1,500,41,87,372,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.546,200,0,0,0,0,TRUE,0,0,200,51,4,8,39,51,4,8,39,1.666666667,0,0,0,0,1.02,2.607727934,0,0,0,1.02
1132,0.5,SRS,1,500,46,71,383,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.55,200,0,0,0,0,TRUE,0,0,200,39,5,8,26,39,5,8,26,1.666666667,0,0,0,0,0.78,2.705665686,0,0,0,0.78
1121,0.5,SRS,1,500,49,72,379,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.486,200,0,0,0,0,TRUE,0,0,200,41,9,6,26,41,9,6,26,1.666666667,0,0,0,0,0.82,2.507793835,0,0,0,0.82
1129,0.5,SRS,1,500,45,80,375,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.554,200,0,0,0,0,TRUE,0,0,200,39,4,7,28,39,4,7,28,1.666666667,0,0,0,0,0.78,2.894452011,0,0,0,0.78
1135,0.5,SRS,1,500,44,81,375,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.762,200,0,0,0,0,TRUE,0,0,200,53,3,7,43,53,3,7,43,1.666666667,0,0,0,0,1.06,2.633981335,0,0,0,1.06
1140,0.5,SRS,1,500,63,64,373,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.626,200,0,0,0,0,TRUE,0,0,200,59,12,7,40,59,12,7,40,1.666666667,0,0,0,0,1.18,2.373915357,0,0,0,1.18
1136,0.5,SRS,1,500,51,68,381,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.53,200,0,0,0,0,TRUE,0,0,200,49,4,7,38,49,4,7,38,1.666666667,0,0,0,0,0.98,2.437930155,0,0,0,0.98
1141,0.5,SRS,1,500,52,73,375,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.378,200,0,0,0,0,TRUE,0,0,200,54,5,4,45,54,5,4,45,1.666666667,0,0,0,0,1.08,2.249660007,0,0,0,1.08
1138,0.5,SRS,1,500,37,82,381,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.454,200,0,0,0,0,TRUE,0,0,200,50,2,5,43,50,2,5,43,1.666666667,0,0,0,0,1,2.329621359,0,0,0,1
1112,0.5,SRS,1,500,56,73,371,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.57,200,0,0,0,0,TRUE,0,0,200,42,6,5,31,42,6,5,31,1.666666667,0,0,0,0,0.84,2.461661501,0,0,0,0.84
1137,0.5,SRS,1,500,59,67,374,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.706,200,0,0,0,0,TRUE,0,0,200,46,5,4,37,46,5,4,37,1.666666667,0,0,0,0,0.92,2.454475744,0,0,0,0.92
1142,0.5,SRS,1,500,57,55,388,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.47,200,0,0,0,0,TRUE,0,0,200,61,8,7,46,61,8,7,46,1.666666667,0,0,0,0,1.22,2.031449778,0,0,0,1.22
1145,0.5,SRS,1,500,46,78,376,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.794,200,0,0,0,0,TRUE,0,0,200,62,6,10,46,62,6,10,46,1.666666667,0,0,0,0,1.24,2.770417422,0,0,0,1.24
1144,0.5,SRS,1,500,50,59,391,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.47,200,0,0,0,0,TRUE,0,0,200,48,7,2,39,48,7,2,39,1.666666667,0,0,0,0,0.96,2.479677308,0,0,0,0.96
1146,0.5,SRS,1,500,39,81,380,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.458,200,0,0,0,0,TRUE,0,0,200,42,3,8,31,42,3,8,31,1.666666667,0,0,0,0,0.84,2.725281356,0,0,0,0.84
1143,0.5,SRS,1,500,56,67,377,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.482,200,0,0,0,0,TRUE,0,0,200,59,5,6,48,59,5,6,48,1.666666667,0,0,0,0,1.18,2.299785489,0,0,0,1.18
1139,0.5,SRS,1,500,52,81,367,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.666,200,0,0,0,0,TRUE,0,0,200,54,6,7,41,54,6,7,41,1.666666667,0,0,0,0,1.08,2.454794258,0,0,0,1.08
1149,0.5,SRS,1,500,46,82,372,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.55,200,0,0,0,0,TRUE,0,0,200,43,8,9,26,43,8,9,26,1.666666667,0,0,0,0,0.86,2.325698256,0,0,0,0.86
1147,0.5,SRS,1,500,43,75,382,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.662,200,0,0,0,0,TRUE,0,0,200,46,2,9,35,46,2,9,35,1.666666667,0,0,0,0,0.92,2.946905669,0,0,0,0.92
1148,0.5,SRS,1,500,45,75,380,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.478,200,0,0,0,0,TRUE,0,0,200,52,1,4,47,52,1,4,47,1.666666667,0,0,0,0,1.04,2.593441223,0,0,0,1.04
1151,0.5,SRS,1,500,45,88,367,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.71,200,0,0,0,0,TRUE,0,0,200,58,7,9,42,58,7,9,42,1.666666667,0,0,0,0,1.16,2.600520662,0,0,0,1.16
1150,0.5,SRS,1,500,39,82,379,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.622,200,0,0,0,0,TRUE,0,0,200,48,4,8,36,48,4,8,36,1.666666667,0,0,0,0,0.96,2.479677308,0,0,0,0.96
1153,0.5,SRS,1,500,52,76,372,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.438,200,0,0,0,0,TRUE,0,0,200,51,4,7,40,51,4,7,40,1.666666667,0,0,0,0,1.02,2.223854161,0,0,0,1.02
1154,0.5,SRS,1,500,59,74,367,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.686,200,0,0,0,0,TRUE,0,0,200,45,8,5,32,45,8,5,32,1.666666667,0,0,0,0,0.9,2.652390597,0,0,0,0.9
1159,0.5,SRS,1,500,53,55,392,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.77,200,0,0,0,0,TRUE,0,0,200,55,7,8,40,55,7,8,40,1.666666667,0,0,0,0,1.1,2.822312362,0,0,0,1.1
1156,0.5,SRS,1,500,39,74,387,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.698,200,0,0,0,0,TRUE,0,0,200,49,2,8,39,49,2,8,39,1.666666667,0,0,0,0,0.98,2.635926778,0,0,0,0.98
1155,0.5,SRS,1,500,55,74,371,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.602,200,0,0,0,0,TRUE,0,0,200,34,5,5,24,34,5,5,24,1.666666667,0,0,0,0,0.68,2.772898096,0,0,0,0.68
1160,0.5,SRS,1,500,48,74,378,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.482,200,0,0,0,0,TRUE,0,0,200,43,6,4,33,43,6,4,33,1.666666667,0,0,0,0,0.86,2.713973962,0,0,0,0.86
1158,0.5,SRS,1,500,44,77,379,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.674,200,0,0,0,0,TRUE,0,0,200,44,5,10,29,44,5,10,29,1.666666667,0,0,0,0,0.88,3.195006278,0,0,0,0.88
1157,0.5,SRS,1,500,48,68,384,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.466,200,0,0,0,0,TRUE,0,0,200,48,5,11,32,48,5,11,32,1.666666667,0,0,0,0,0.96,2.371781813,0,0,0,0.96
1162,0.5,SRS,1,500,52,75,373,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.534,200,0,0,0,0,TRUE,0,0,200,56,5,9,42,56,5,9,42,1.666666667,0,0,0,0,1.12,2.1825705,0,0,0,1.12
1152,0.5,SRS,1,500,47,70,383,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.65,200,0,0,0,0,TRUE,0,0,200,44,2,7,35,44,2,7,35,1.666666667,0,0,0,0,0.88,2.777817,0,0,0,0.88
1165,0.5,SRS,1,500,40,61,399,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.762,200,0,0,0,0,TRUE,0,0,200,53,4,6,43,53,4,6,43,1.666666667,0,0,0,0,1.06,2.766483816,0,0,0,1.06
1163,0.5,SRS,1,500,49,68,383,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.63,200,0,0,0,0,TRUE,0,0,200,59,7,8,44,59,7,8,44,1.666666667,0,0,0,0,1.18,2.299785489,0,0,0,1.18
1166,0.5,SRS,1,500,54,66,380,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.55,200,0,0,0,0,TRUE,0,0,200,64,11,4,49,64,11,4,49,1.666666667,0,0,0,0,1.28,2.462023109,0,0,0,1.28
1168,0.5,SRS,1,500,54,83,363,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.67,200,0,0,0,0,TRUE,0,0,200,43,5,6,32,43,5,6,32,1.666666667,0,0,0,0,0.86,2.792936658,0,0,0,0.86
1167,0.5,SRS,1,500,47,67,386,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.654,200,0,0,0,0,TRUE,0,0,200,52,6,4,42,52,6,4,42,1.666666667,0,0,0,0,1.04,2.321182064,0,0,0,1.04
1164,0.5,SRS,1,500,44,74,382,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.454,200,0,0,0,0,TRUE,0,0,200,57,7,11,39,57,7,11,39,1.666666667,0,0,0,0,1.14,2.17912398,0,0,0,1.14
1161,0.5,SRS,1,500,61,70,369,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.634,200,0,0,0,0,TRUE,0,0,200,48,8,8,32,48,8,8,32,1.666666667,0,0,0,0,0.96,2.778336069,0,0,0,0.96
1171,0.5,SRS,1,500,52,72,376,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.71,200,0,0,0,0,TRUE,0,0,200,72,13,10,49,72,13,10,49,1.666666667,0,0,0,0,1.44,2.280095102,0,0,0,1.44
1169,0.5,SRS,1,500,47,69,384,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.602,200,0,0,0,0,TRUE,0,0,200,63,9,13,41,63,9,13,41,1.666666667,0,0,0,0,1.26,2.435809513,0,0,0,1.26
1173,0.5,SRS,1,500,44,77,379,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.502,200,0,0,0,0,TRUE,0,0,200,58,5,11,42,58,5,11,42,1.666666667,0,0,0,0,1.16,2.28235868,0,0,0,1.16
1170,0.5,SRS,1,500,50,69,381,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.622,200,0,0,0,0,TRUE,0,0,200,73,5,13,55,73,5,13,55,1.666666667,0,0,0,0,1.46,2.112875476,0,0,0,1.46
1172,0.5,SRS,1,500,58,64,378,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.578,200,0,0,0,0,TRUE,0,0,200,56,4,8,44,56,4,8,44,1.666666667,0,0,0,0,1.12,2.153003021,0,0,0,1.12
1176,0.5,SRS,1,500,46,80,374,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.67,200,0,0,0,0,TRUE,0,0,200,53,4,13,36,53,4,13,36,1.666666667,0,0,0,0,1.06,2.633981335,0,0,0,1.06
1178,0.5,SRS,1,500,46,63,391,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.406,200,0,0,0,0,TRUE,0,0,200,53,3,10,40,53,3,10,40,1.666666667,0,0,0,0,1.06,2.188865595,0,0,0,1.06
1175,0.5,SRS,1,500,51,76,373,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.61,200,0,0,0,0,TRUE,0,0,200,52,5,7,40,52,5,7,40,1.666666667,0,0,0,0,1.04,2.321182064,0,0,0,1.04
1177,0.5,SRS,1,500,49,55,396,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.546,200,0,0,0,0,TRUE,0,0,200,46,5,6,35,46,5,6,35,1.666666667,0,0,0,0,0.92,2.711890872,0,0,0,0.92
1174,0.5,SRS,1,500,61,82,357,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.526,200,0,0,0,0,TRUE,0,0,200,57,9,10,38,57,9,10,38,1.666666667,0,0,0,0,1.14,2.289872312,0,0,0,1.14
1180,0.5,SRS,1,500,41,80,379,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.814,200,0,0,0,0,TRUE,0,0,200,51,4,9,38,51,4,9,38,1.666666667,0,0,0,0,1.02,3.095532499,0,0,0,1.02
1179,0.5,SRS,1,500,47,57,396,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.75,200,0,0,0,0,TRUE,0,0,200,46,5,5,36,46,5,5,36,1.666666667,0,0,0,0,0.92,2.640905225,0,0,0,0.92
1181,0.5,SRS,1,500,40,94,366,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.566,200,0,0,0,0,TRUE,0,0,200,54,3,11,40,54,3,11,40,1.666666667,0,0,0,0,1.08,2.426551322,0,0,0,1.08
1184,0.5,SRS,1,500,38,63,399,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.522,200,0,0,0,0,TRUE,0,0,200,54,2,5,47,54,2,5,47,1.666666667,0,0,0,0,1.08,2.537637767,0,0,0,1.08
1189,0.5,SRS,1,500,37,80,383,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.658,200,0,0,0,0,TRUE,0,0,200,54,3,9,42,54,3,9,42,1.666666667,0,0,0,0,1.08,2.510327052,0,0,0,1.08
1183,0.5,SRS,1,500,52,87,361,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.522,200,0,0,0,0,TRUE,0,0,200,59,4,12,43,59,4,12,43,1.666666667,0,0,0,0,1.18,2.445799451,0,0,0,1.18
1187,0.5,SRS,1,500,46,86,368,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.55,200,0,0,0,0,TRUE,0,0,200,42,1,6,35,42,1,6,35,1.666666667,0,0,0,0,0.84,2.847955237,0,0,0,0.84
1182,0.5,SRS,1,500,58,74,368,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.526,200,0,0,0,0,TRUE,0,0,200,55,7,9,39,55,7,9,39,1.666666667,0,0,0,0,1.1,2.470810533,0,0,0,1.1
1195,0.5,SRS,1,500,49,75,376,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.818,200,0,0,0,0,TRUE,0,0,200,40,1,3,36,40,1,3,36,1.666666667,0,0,0,0,0.8,3.049013351,0,0,0,0.8
1192,0.5,SRS,1,500,54,72,374,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.838,200,0,0,0,0,TRUE,0,0,200,63,8,7,48,63,8,7,48,1.666666667,0,0,0,0,1.26,2.435809513,0,0,0,1.26
1186,0.5,SRS,1,500,55,77,368,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.658,200,0,0,0,0,TRUE,0,0,200,48,3,8,37,48,3,8,37,1.666666667,0,0,0,0,0.96,2.714808327,0,0,0,0.96
1191,0.5,SRS,1,500,49,89,362,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.45,200,0,0,0,0,TRUE,0,0,200,39,2,7,30,39,2,7,30,1.666666667,0,0,0,0,0.78,2.394741811,0,0,0,0.78
1194,0.5,SRS,1,500,50,76,374,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.682,200,0,0,0,0,TRUE,0,0,200,41,3,8,30,41,3,8,30,1.666666667,0,0,0,0,0.82,2.946272794,0,0,0,0.82
1196,0.5,SRS,1,500,41,70,389,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.698,200,0,0,0,0,TRUE,0,0,200,59,6,5,48,59,6,5,48,1.666666667,0,0,0,0,1.18,2.349465297,0,0,0,1.18
1193,0.5,SRS,1,500,48,76,376,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.53,200,0,0,0,0,TRUE,0,0,200,49,3,4,42,49,3,4,42,1.666666667,0,0,0,0,0.98,2.538859332,0,0,0,0.98
1190,0.5,SRS,1,500,51,82,367,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.622,200,0,0,0,0,TRUE,0,0,200,58,4,6,48,58,4,6,48,1.666666667,0,0,0,0,1.16,2.482980024,0,0,0,1.16
1197,0.5,SRS,1,500,53,80,367,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.546,200,0,0,0,0,TRUE,0,0,200,45,7,10,28,45,7,10,28,1.666666667,0,0,0,0,0.9,2.376028516,0,0,0,0.9
1188,0.5,SRS,1,500,65,56,379,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.554,200,0,0,0,0,TRUE,0,0,200,50,9,4,37,50,9,4,37,1.666666667,0,0,0,0,1,2.712339197,0,0,0,1
1198,0.5,SRS,1,500,44,63,393,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.534,200,0,0,0,0,TRUE,0,0,200,52,3,5,44,52,3,5,44,1.666666667,0,0,0,0,1.04,2.321182064,0,0,0,1.04
1199,0.5,SRS,1,500,49,80,371,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.654,200,0,0,0,0,TRUE,0,0,200,43,4,6,33,43,4,6,33,1.666666667,0,0,0,0,0.86,2.907362368,0,0,0,0.86
1203,0.5,SRS,1,500,68,81,351,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.63,200,0,0,0,0,TRUE,0,0,200,43,6,11,26,43,6,11,26,1.666666667,0,0,0,0,0.86,2.673618225,0,0,0,0.86
1208,0.5,SRS,1,500,41,77,382,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.466,200,0,0,0,0,TRUE,0,0,200,50,3,9,38,50,3,9,38,1.666666667,0,0,0,0,1,2.187217318,0,0,0,1
1209,0.5,SRS,1,500,44,73,383,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.318,200,0,0,0,0,TRUE,0,0,200,53,8,8,37,53,8,8,37,1.666666667,0,0,0,0,1.06,2.188865595,0,0,0,1.06
1204,0.5,SRS,1,500,45,68,387,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.57,200,0,0,0,0,TRUE,0,0,200,42,3,5,34,42,3,5,34,1.666666667,0,0,0,0,0.84,2.507523519,0,0,0,0.84
1185,0.5,SRS,1,500,41,80,379,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.734,200,0,0,0,0,TRUE,0,0,200,47,6,13,28,47,6,13,28,1.666666667,0,0,0,0,0.94,2.796669666,0,0,0,0.94
1211,0.5,SRS,1,500,58,68,374,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.45,200,0,0,0,0,TRUE,0,0,200,59,3,4,52,59,3,4,52,1.666666667,0,0,0,0,1.18,2.299785489,0,0,0,1.18
1210,0.5,SRS,1,500,55,77,368,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.698,200,0,0,0,0,TRUE,0,0,200,53,3,9,41,53,3,9,41,1.666666667,0,0,0,0,1.06,2.843022638,0,0,0,1.06
1201,0.5,SRS,1,500,47,79,374,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.614,200,0,0,0,0,TRUE,0,0,200,43,3,4,36,43,3,4,36,1.666666667,0,0,0,0,0.86,2.505704171,0,0,0,0.86
1212,0.5,SRS,1,500,58,66,376,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.366,200,0,0,0,0,TRUE,0,0,200,42,8,3,31,42,8,3,31,1.666666667,0,0,0,0,0.84,2.461661501,0,0,0,0.84
1205,0.5,SRS,1,500,43,68,389,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.502,200,0,0,0,0,TRUE,0,0,200,54,4,11,39,54,4,11,39,1.666666667,0,0,0,0,1.08,2.454794258,0,0,0,1.08
1206,0.5,SRS,1,500,44,69,387,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.578,200,0,0,0,0,TRUE,0,0,200,43,4,3,36,43,4,3,36,1.666666667,0,0,0,0,0.86,2.792936658,0,0,0,0.86
1213,0.5,SRS,1,500,49,70,381,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.606,200,0,0,0,0,TRUE,0,0,200,45,7,7,31,45,7,7,31,1.666666667,0,0,0,0,0.9,2.726210345,0,0,0,0.9
1200,0.5,SRS,1,500,51,67,382,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,1.814,200,0,0,0,0,TRUE,0,0,200,51,6,7,38,51,6,7,38,1.666666667,0,0,0,0,1.02,2.834911535,0,0,0,1.02
1215,0.5,SRS,1,500,50,87,363,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.646,200,0,0,0,0,TRUE,0,0,200,46,3,5,38,46,3,5,38,1.666666667,0,0,0,0,0.92,2.375811332,0,0,0,0.92
1202,0.5,SRS,1,500,43,70,387,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.506,200,0,0,0,0,TRUE,0,0,200,48,2,5,41,48,2,5,41,1.666666667,0,0,0,0,0.96,2.479677308,0,0,0,0.96
1216,0.5,SRS,1,500,51,74,375,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.402,200,0,0,0,0,TRUE,0,0,200,54,6,9,39,54,6,9,39,1.666666667,0,0,0,0,1.08,2.280095102,0,0,0,1.08
1207,0.5,SRS,1,500,56,77,367,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.418,200,0,0,0,0,TRUE,0,0,200,36,4,6,26,36,4,6,26,1.666666667,0,0,0,0,0.72,2.714808327,0,0,0,0.72
1218,0.5,SRS,1,500,55,82,363,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.446,200,0,0,0,0,TRUE,0,0,200,54,8,7,39,54,8,7,39,1.666666667,0,0,0,0,1.08,2.454794258,0,0,0,1.08
1214,0.5,SRS,1,500,47,79,374,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.582,200,0,0,0,0,TRUE,0,0,200,47,7,5,35,47,7,5,35,1.666666667,0,0,0,0,0.94,2.697294789,0,0,0,0.94
1217,0.5,SRS,1,500,62,70,368,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.426,200,0,0,0,0,TRUE,0,0,200,41,6,7,28,41,6,7,28,1.666666667,0,0,0,0,0.82,2.601408967,0,0,0,0.82
1228,0.5,SRS,1,500,62,67,371,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.498,200,0,0,0,0,TRUE,0,0,200,39,7,4,28,39,7,4,28,1.666666667,0,0,0,0,0.78,2.449304953,0,0,0,0.78
1224,0.5,SRS,1,500,42,82,376,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.622,200,0,0,0,0,TRUE,0,0,200,57,5,10,42,57,5,10,42,1.666666667,0,0,0,0,1.14,2.343284479,0,0,0,1.14
1229,0.5,SRS,1,500,50,70,380,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.502,200,0,0,0,0,TRUE,0,0,200,42,5,7,30,42,5,7,30,1.666666667,0,0,0,0,0.84,2.507523519,0,0,0,0.84
1223,0.5,SRS,1,500,53,82,365,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.522,200,0,0,0,0,TRUE,0,0,200,48,4,13,31,48,4,13,31,1.666666667,0,0,0,0,0.96,2.583069906,0,0,0,0.96
1222,0.5,SRS,1,500,54,70,376,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.638,200,0,0,0,0,TRUE,0,0,200,50,8,4,38,50,8,4,38,1.666666667,0,0,0,0,1,2.463808385,0,0,0,1
1220,0.5,SRS,1,500,45,74,381,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.526,200,0,0,0,0,TRUE,0,0,200,52,5,7,40,52,5,7,40,1.666666667,0,0,0,0,1.04,2.445930416,0,0,0,1.04
1226,0.5,SRS,1,500,48,72,380,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.446,200,0,0,0,0,TRUE,0,0,200,47,4,7,36,47,4,7,36,1.666666667,0,0,0,0,0.94,2.374344763,0,0,0,0.94
1221,0.5,SRS,1,500,48,74,378,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.57,200,0,0,0,0,TRUE,0,0,200,60,9,10,41,60,9,10,41,1.666666667,0,0,0,0,1.2,2.290952759,0,0,0,1.2
1231,0.5,SRS,1,500,45,79,376,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.582,200,0,0,0,0,TRUE,0,0,200,46,3,9,34,46,3,9,34,1.666666667,0,0,0,0,0.92,2.33548574,0,0,0,0.92
1233,0.5,SRS,1,500,41,72,387,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.354,200,0,0,0,0,TRUE,0,0,200,53,3,10,40,53,3,10,40,1.666666667,0,0,0,0,1.06,2.253300381,0,0,0,1.06
1225,0.5,SRS,1,500,45,84,371,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.458,200,0,0,0,0,TRUE,0,0,200,59,3,5,51,59,3,5,51,1.666666667,0,0,0,0,1.18,2.143849723,0,0,0,1.18
1227,0.5,SRS,1,500,58,79,363,1,1,1,1,Clumped Matern 1S+1M+2,3,0,1S+1M+2,1.554,200,0,0,0,0,TRUE,0,0,200,57,6,9,42,57,6,9,42,1.666666667,0,0,0,0,1.14,2.471770521,0,0,0,1.14
